A	ఆ
saMpradAyAla	సంప్రదాయాల
saMpradAyAniki	సంప్రదాయానికి
saMpradAya	సంప్రదాయ
saMpradAyaMlO	సంప్రదాయంలో
saMpradiMcAli	సంప్రదించాలి
saMpradiMcaTaM	సంప్రదించటం
saMpradiMcavaccu	సంప్రదించవచ్చు
saMpradistuMTAru	సంప్రదిస్తుంటారు
saMrakshaNa	సంరక్షణ
saMsiddhaM	సంసిద్ధం
saMsiddhamavutuMTAM	సంసిద్ధమవుతుంటాం
saMsiddhatE	సంసిద్ధతే
saMsiddhata	సంసిద్ధత
saMsiddhulanu	సంసిద్ధులను
saMskRta	సంస్కృత
saMskRtaMlO	సంస్కృతంలో
saMskRtilO	సంస్కృతిలో
saMskRtulatO	సంస్కృతులతో
saMskRtulu	సంస్కృతులు
saMsthAnAdhISuDi	సంస్థానాధీశుడి
saMstha	సంస్థ
saMsthalO	సంస్థలో
saMsthala	సంస్థల
saMsthalatO	సంస్థలతో
saMsthallO	సంస్థల్లో
saMsthalu	సంస్థలు
saMsthanu	సంస్థను
saMtAnAnni	సంతానాన్ని
saMtAnAsaktitOnE	సంతానాసక్తితోనే
saMtAna	సంతాన
saMtAnaM	సంతానం
saMtOshAniki	సంతోషానికి
saMtOshaMgAnE	సంతోషంగానే
saMtOshapaDEvAru	సంతోషపడేవారు
saMtRptigAnE	సంతృప్తిగానే
saMtariMcukoMdi	సంతరించుకొంది
saMtati	సంతతి
saMvatsarAla	సంవత్సరాల
saMvatsarAniki	సంవత్సరానికి
saMvatsarOtsavAlanu	సంవత్సరోత్సవాలను
saMvatsaraMlO	సంవత్సరంలో
saSAstrIyaMgA	సశాస్త్రీయంగా
sabIhA	సబీహా
sabhAvEdikanu	సభావేదికను
sabhyula	సభ్యుల
sacitraMgA	సచిత్రంగా
sadupAyAlu	సదుపాయాలు
sadupAyAnni	సదుపాయాన్ని
sadupAyaM	సదుపాయం
sadviniyOgaM	సద్వినియోగం
sagAniki	సగానికి
sagaM	సగం
sagaTu	సగటు
sagaTuna	సగటున
sahA	సహా
sahAyaM	సహాయం
sahAyakulanu	సహాయకులను
sahAyapaDAli	సహాయపడాలి
sahajAtaM	సహజాతం
sahajAtaMgA	సహజాతంగా
sahajAtamEgAnI	సహజాతమేగానీ
sahaja	సహజ
sahajaM	సహజం
sahajaMgA	సహజంగా
sahajaMgAnE	సహజంగానే
sahajamaina	సహజమైన
sahajamani	సహజమని
sahakariMcE	సహకరించే
sahakariMcEvanna	సహకరించేవన్న
sahakaristuMdi	సహకరిస్తుంది
sahasrAbdAlaku	సహస్రాబ్దాలకు
sahasraliMgESvaruDu	సహస్రలింగేశ్వరుడు
saiTlu	సైట్లు
saigalu	సైగలు
saikAlajI	సైకాలజీ
saikliMg	సైక్లింగ్
sains	సైన్స్
sainyaMlO	సైన్యంలో
saitaM	సైతం
sajAvugA	సజావుగా
sakala	సకల
sakalatIrthAlU	సకలతీర్థాలూ
salIM	సలీం
salahA	సలహా
salahAlU	సలహాలూ
salahAlu	సలహాలు
salahAtOnE	సలహాతోనే
samAcArAnnE	సమాచారాన్నే
samAcArAnni	సమాచారాన్ని
samAcAraM	సమాచారం
samAdhAnaM	సమాధానం
samAjAniki	సమాజానికి
samAjaM	సమాజం
samAjaMlO	సమాజంలో
samAjamU	సమాజమూ
samAnamaina	సమానమైన
samEta	సమేత
samEtaMgA	సమేతంగా
samEtuDaina	సమేతుడైన
samIpaM	సమీపం
samIpaMlOni	సమీపంలోని
samIpaMlOnunna	సమీపంలోనున్న
samO	సమో
samaM	సమం
samadhikOtsAhaMtO	సమధికోత్సాహంతో
samagra	సమగ్ర
samagrata	సమగ్రత
samakUrcutAru	సమకూర్చుతారు
samarpiMcAli	సమర్పించాలి
samarpiMcE	సమర్పించే
samartha	సమర్థ
samarthaMgA	సమర్థంగా
samarthamaina	సమర్థమైన
samarthataku	సమర్థతకు
samasipOkapOvaccugAnI	సమసిపోకపోవచ్చుగానీ
samasta	సమస్త
samasyE	సమస్యే
samasya	సమస్య
samasyagA	సమస్యగా
samasyaku	సమస్యకు
samasyalU	సమస్యలూ
samasyala	సమస్యల
samasyalaku	సమస్యలకు
samasyalannI	సమస్యలన్నీ
samasyalanu	సమస్యలను
samasyalatO	సమస్యలతో
samasyallO	సమస్యల్లో
samasyalni	సమస్యల్ని
samasyalu	సమస్యలు
samasyaluMTE	సమస్యలుంటే
samasyaluMTunnaTTu	సమస్యలుంటున్నట్టు
samasyalunna	సమస్యలున్న
samasyanu	సమస్యను
samasyatO	సమస్యతో
samatalaMgA	సమతలంగా
samataulyaMlOki	సమతౌల్యంలోకి
samatulyatanu	సమతుల్యతను
samayAla	సమయాల
samayAlanu	సమయాలను
samayAllOnE	సమయాల్లోనే
samayAniki	సమయానికి
samayAnni	సమయాన్ని
samayaM	సమయం
samayaMlO	సమయంలో
samayaMlOpu	సమయంలోపు
sammatiMcaDaMtO	సమ్మతించడంతో
samudAyaMlO	సముదాయంలో
sanAtana	సనాతన
sannaTi	సన్నటి
sannaddhaM	సన్నద్ధం
sannaddhata	సన్నద్ధత
sannagillinA	సన్నగిల్లినా
sannagillipOvaTamannadi	సన్నగిల్లిపోవటమన్నది
sannidhiki	సన్నిధికి
sannidhilO	సన్నిధిలో
sannihitaMgA	సన్నిహితంగా
sapta	సప్త
saptagOdAvari	సప్తగోదావరి
saptagOdAvarigA	సప్తగోదావరిగా
saptagOdAvarini	సప్తగోదావరిని
saptagirISuDani	సప్తగిరీశుడని
saptamAtRkalu	సప్తమాతృకలు
saptarshulanu	సప్తర్షులను
saptarshulu	సప్తర్షులు
saptarushulu	సప్తరుషులు
sarE	సరే
saraLaMgA	సరళంగా
saradA	సరదా
saraina	సరైన
sarapharAku	సరఫరాకు
sardEsukoni	సర్దేసుకొని
sardukuni	సర్దుకుని
sarididdE	సరిదిద్దే
sarigA	సరిగా
sariggA	సరిగ్గా
sarikotta	సరికొత్త
saripOdEmO	సరిపోదేమో
saripOdu	సరిపోదు
saripOru	సరిపోరు
saripOtOMdA	సరిపోతోందా
saripOtuMdi	సరిపోతుంది
sarisamAnaMgA	సరిసమానంగా
sarjan	సర్జన్
sarvAMgAsanaM	సర్వాంగాసనం
sarvE	సర్వే
sarvElO	సర్వేలో
sarvEnu	సర్వేను
sarvIsu	సర్వీసు
sarvIsulatO	సర్వీసులతో
sarvIsulu	సర్వీసులు
sarva	సర్వ
sarvapApAlnI	సర్వపాపాల్నీ
sarvasAdhAraNaM	సర్వసాధారణం
sarvasAdhAraNamavutunnAyi	సర్వసాధారణమవుతున్నాయి
sarvatrA	సర్వత్రా
satI	సతీ
satIdEvi	సతీదేవి
satIdEviki	సతీదేవికి
satamataM	సతమతం
satamatamavutunna	సతమతమవుతున్న
satiki	సతికి
satrAlni	సత్రాల్ని
satsaMbaMdhAlu	సత్సంబంధాలు
saukaryAlu	సౌకర్యాలు
saukaryaM	సౌకర్యం
saukaryaMgA	సౌకర్యంగా
saukaryamU	సౌకర్యమూ
saukaryamuMdi	సౌకర్యముంది
saukhyaM	సౌఖ్యం
saulabhyaM	సౌలభ్యం
saurAshTra	సౌరాష్ట్ర
savALLanu	సవాళ్ళను
savariMcukuMTU	సవరించుకుంటూ
seks	సెక్స్
seksu	సెక్సు
seksuval	సెక్సువల్
selavoccinA	సెలవొచ్చినా
selayELlu	సెలయేళ్లు
seraTOnin	సెరటోనిన్
sevvusAni	సెవ్వుసాని
shAk	షాక్
shErla	షేర్ల
shErlaku	షేర్లకు
shErlanu	షేర్లను
shErlu	షేర్లు
shaTlar	షట్లర్
sharatu	షరతు
si	సి
siMdhu	సింధు
siMdhuku	సింధుకు
siMhaM	సింహం
siMharUpuDaina	సింహరూపుడైన
siddhAMtAlannI	సిద్ధాంతాలన్నీ
siddhAMtAlatO	సిద్ధాంతాలతో
siddhAMtAniki	సిద్ధాంతానికి
siddhAMtIkariMcAru	సిద్ధాంతీకరించారు
siddhaM	సిద్ధం
siddhamaiMdi	సిద్ధమైంది
siddhamavutAru	సిద్ధమవుతారు
siddhamavutuMDE	సిద్ధమవుతుండే
siddhamayyAru	సిద్ధమయ్యారు
siddhiMcE	సిద్ధించే
siddhistunnAyani	సిద్ధిస్తున్నాయని
siggupaDAlsina	సిగ్గుపడాల్సిన
siggupaDE	సిగ్గుపడే
sigmaMD	సిగ్మండ్
sikiMdrAbAd	సికింద్రాబాద్
silabas	సిలబస్
sinimAlanu	సినిమాలను
sinimAllOlA	సినిమాల్లోలా
siphArsu	సిఫార్సు
siralu	సిరలు
sirikikolanu	సిరికికొలను
sirikolanu	సిరికొలను
sitO	సితో
skAMdapurANaM	స్కాందపురాణం
skULlalO	స్కూళ్లలో
skUl	స్కూల్
skUllOnO	స్కూల్లోనో
skUllOnU	స్కూల్లోనూ
skUlu	స్కూలు
slekarOsis	స్లె్కరోసిస్
snAnaM	స్నానం
snAnamADE	స్నానమాడే
snAnamAcariMci	స్నానమాచరించి
snAnamAcariMcina	స్నానమాచరించిన
snAnamAcaristE	స్నానమాచరిస్తే
snAyuvula	స్నాయువుల
snEhitula	స్నేహితుల
snEhitulatO	స్నేహితులతో
soMta	సొంత
soMtaM	సొంతం
soMtamaiMdanI	సొంతమైందనీ
spRSiMcaTaM	స్పృశించటం
spRSiMci	స్పృశించి
spaMdanala	స్పందనల
spashTaMgA	స్పష్టంగా
spashTamaina	స్పష్టమైన
sphUrti	స్ఫూర్తి
sphaTika	స్ఫటిక
srAvaM	స్రావం
sravaMtilOki	స్రవంతిలోకి
staMbhAla	స్తంభాల
staMbhAlapaina	స్తంభాలపైన
staMbhana	స్తంభన
staMbhanalu	స్తంభనలు
staMbhistuMdanna	స్తంభిస్తుందన్న
staMbhistuMdi	స్తంభిస్తుంది
sthAnAnni	స్థానాన్ని
sthAnaM	స్థానం
sthAnika	స్థానిక
sthApiMcAraTa	స్థాపించారట
sthAyi	స్థాయి
sthAyilO	స్థాయిలో
sthAyini	స్థాయిని
sthAyulu	స్థాయులు
sthOmata	స్థోమత
sthUlaMgA	స్థూలంగా
sthala	స్థల
sthalaM	స్థలం
sthalapurANaM	స్థలపురాణం
sthalapurANaMlO	స్థలపురాణంలో
sthimitaMgA	స్థిమితంగా
sthiraMgA	స్థిరంగా
sthiramaina	స్థిరమైన
sthirapaDiMdani	స్థిరపడిందని
sthirapaDipOyiMdi	స్థిరపడిపోయింది
sthiti	స్థితి
sthitilOki	స్థితిలోకి
sthitini	స్థితిని
strIhArmOnlugA	స్త్రీహార్మోన్లుగా
strIla	స్త్రీల
strIlaMdarilAgE	స్త్రీలందరిలాగే
strIlakU	స్త్రీలకూ
strIlakaMTE	స్త్రీలకంటే
strIlalO	స్త్రీలలో
strIlanE	స్త్రీలనే
strIlu	స్త్రీలు
strIpurusha	స్త్రీపురుష
strIpurushula	స్త్రీపురుషుల
strIpurushulu	స్త్రీపురుషులు
strIsvEcCA	స్త్రీస్వేచ్ఛా
suMdara	సుందర
subEdArO	సుబేదారో
subrahmaNyESvarasvAmi	సుబ్రహ్మణ్యేశ్వరస్వామి
subrahmaNyESvaruDu	సుబ్రహ్మణ్యేశ్వరుడు
sudIrgha	సుదీర్ఘ
sudIrghamaina	సుదీర్ఘమైన
sudarSana	సుదర్శన
suddamukkala	సుద్దముక్కల
sudhAkar	సుధాకర్
sukhIbhava	సుఖీభవ
sukhaM	సుఖం
sukhapradaM	సుఖప్రదం
sulabhaM	సులభం
sulabhamaina	సులభమైన
suluvugA	సులువుగా
sumAru	సుమారు
sumaMt	సుమంత్
sumanOhara	సుమనోహర
sunnitaMgA	సున్నితంగా
sunnitamaina	సున్నితమైన
suprasiddhurAlaiMdi	సుప్రసిద్ధురాలైంది
supta	సుప్త
surESvara	సురేశ్వర
surakshita	సురక్షిత
suvarNa	సువర్ణ
svAmi	స్వామి
svAmigA	స్వామిగా
svAmiki	స్వామికి
svAmini	స్వామిని
svAmitOpATu	స్వామితోపాటు
svAmivAri	స్వామివారి
svAmivAriki	స్వామివారికి
svAmivAru	స్వామివారు
svAmula	స్వాముల
svAti	స్వాతి
svIDan	స్వీడన్
svIkariMcavaccu	స్వీకరించవచ్చు
svIkaristADu	స్వీకరిస్తాడు
svIkaristAru	స్వీకరిస్తారు
svIkaristuMdi	స్వీకరిస్తుంది
svabhAvaMtO	స్వభావంతో
svacCaMda	స్వచ్ఛంద
svadESAniki	స్వదేశానికి
svapna	స్వప్న
svapnaMlO	స్వప్నంలో
svarUpaMlO	స్వరూపంలో
svasthata	స్వస్థత
svayaM	స్వయం
svayaMbhUgA	స్వయంభూగా
svayaMbhUliMgAnni	స్వయంభూలింగాన్ని
svayaMbhUmUrti	స్వయంభూమూర్తి
svayaMbhu	స్వయంభు
svayaMbhuvuDaina	స్వయంభువుడైన
svayaMbhuvuDayyADani	స్వయంభువుడయ్యాడని
svayaMbhuvugA	స్వయంభువుగా
svayaMbhuvunu	స్వయంభువును
svayaMgA	స్వయంగా
tAMDavaM	తాండవం
tAgoccu	తాగొచ్చు
tAjAgA	తాజాగా
tAkaTaM	తాకటం
tAkalEvu	తాకలేవు
tAkinaTlugAnE	తాకినట్లుగానే
tAmU	తామూ
tAmara	తామర
tAmu	తాము
tApIgA	తాపీగా
tArkANaM	తార్కాణం
tAvulEni	తావులేని
tEDA	తేడా
tEDAgA	తేడాగా
tEDAlocci	తేడాలొచ్చి
tEDAluMDoccu	తేడాలుండొచ్చు
tElaTaM	తేలటం
tElcAru	తేల్చారు
tElcESADaTa	తేల్చేశాడట
tElcukunnappuDE	తేల్చుకున్నప్పుడే
tEliMdi	తేలింది
tElika	తేలిక
tElikagA	తేలికగా
tElikapATi	తేలికపాటి
tEvaTaMlO	తేవటంలో
tIrAna	తీరాన
tIraTAniki	తీరటానికి
tIrcE	తీర్చే
tIrci	తీర్చి
tIrcididdAru	తీర్చిదిద్దారు
tIrcididdAyi	తీర్చిదిద్దాయి
tIrcididdutuMdi	తీర్చిదిద్దుతుంది
tIrcukoni	తీర్చుకొని
tIrpulu	తీర్పులు
tIrthAniki	తీర్థానికి
tIrthAnni	తీర్థాన్ని
tIrthaM	తీర్థం
tIrthaMgAnE	తీర్థంగానే
tIrthaMlO	తీర్థంలో
tIrthamanI	తీర్థమనీ
tIrtharAjaM	తీర్థరాజం
tIrtharAjamE	తీర్థరాజమే
tIru	తీరు
tIrulO	తీరులో
tIsEstunnAranukuMdAM	తీసేస్తున్నారనుకుందాం
tIsEyistuMTAru	తీసేయిస్తుంటారు
tIsai	తీసై
tIsi	తీసి
tIstuMdi	తీస్తుంది
tIsukOkapOtE	తీసుకోకపోతే
tIsukOvAli	తీసుకోవాలి
tIsukOvAlsi	తీసుకోవాల్సి
tIsukOvAlsina	తీసుకోవాల్సిన
tIsukOvaTAnni	తీసుకోవటాన్ని
tIsukOvaTaM	తీసుకోవటం
tIsukOvaTaMlO	తీసుకోవటంలో
tIsukOvaccu	తీసుకోవచ్చు
tIsukeLitE	తీసుకెళితే
tIsukeLlE	తీసుకెళ్లే
tIsukeLlaMDi	తీసుకెళ్లండి
tIsukoccADu	తీసుకొచ్చాడు
tIsukocci	తీసుకొచ్చి
tIsukostAyi	తీసుకొస్తాయి
tIsuku	తీసుకు
tIsukuMTAru	తీసుకుంటారు
tIsukuMTE	తీసుకుంటే
tIsukuMTU	తీసుకుంటూ
tIsukuMTuMTAru	తీసుకుంటుంటారు
tIsukunE	తీసుకునే
tIsukunEvALlu	తీసుకునేవాళ్లు
tIsukunnAru	తీసుకున్నారు
tIsukunna	తీసుకున్న
tIsukuvaccArani	తీసుకువచ్చారని
tIsukuvacci	తీసుకువచ్చి
tIsukuvacciMdi	తీసుకువచ్చింది
tIvra	తీవ్ర
tIvraMgA	తీవ్రంగా
tIvramaina	తీవ్రమైన
tIvrata	తీవ్రత
tO	తో
tODpaDEdE	తోడ్పడేదే
tODpaDatAyi	తోడ్పడతాయి
tODpaDitE	తోడ్పడితే
tODpaDutuMdi	తోడ్పడుతుంది
tODu	తోడు
tODugA	తోడుగా
tOTa	తోట
tOTi	తోటి
tObuTTuvula	తోబుట్టువుల
tOkatO	తోకతో
tOmukoni	తోముకొని
tOvalO	తోవలో
tRpti	తృప్తి
tRptikI	తృప్తికీ
tRptinI	తృప్తినీ
tRptini	తృప్తిని
tRtIya	తృతీయ
tUrpu	తూర్పు
tUrpucALukyula	తూర్పుచాళుక్యుల
tUrpugOdAvari	తూర్పుగోదావరి
tUrpumukhaMgA	తూర్పుముఖంగా
tUrpuna	తూర్పున
tUtUmaMtraMgA	తూతూమంత్రంగా
taDabaDutUnE	తడబడుతూనే
taMDri	తండ్రి
taMtugA	తంతుగా
taMtugAnE	తంతుగానే
taTTukuni	తట్టుకుని
taditara	తదితర
tagadani	తగదని
tagadu	తగదు
tagavunu	తగవును
taggAyA	తగ్గాయా
taggAyannadi	తగ్గాయన్నది
taggE	తగ్గే
taggEMduku	తగ్గేందుకు
taggaTAniki	తగ్గటానికి
taggaTTugA	తగ్గట్టుగా
taggaTaM	తగ్గటం
taggadu	తగ్గదు
taggiMcEMduku	తగ్గించేందుకు
taggiMcukOvaTAnikI	తగ్గించుకోవటానికీ
taggiMdA	తగ్గిందా
taggina	తగ్గిన
tagginaTTu	తగ్గినట్టు
taggipOtAyi	తగ్గిపోతాయి
taggipOtE	తగ్గిపోతే
taggipOtOMdani	తగ్గిపోతోందని
taggipOtuMTE	తగ్గిపోతుంటే
taggipOtuMdEmOnanna	తగ్గిపోతుందేమోనన్న
taggipOvaTAniki	తగ్గిపోవటానికి
taggipOvaTAnni	తగ్గిపోవటాన్ని
taggipOvaTaM	తగ్గిపోవటం
taggipOvaTamannadi	తగ్గిపోవటమన్నది
taggipOvaccu	తగ్గిపోవచ్చు
taggistuMdi	తగ్గిస్తుంది
taggutAyannadi	తగ్గుతాయన్నది
taggutAyi	తగ్గుతాయి
taggutuMTAyi	తగ్గుతుంటాయి
taggutuMdi	తగ్గుతుంది
taggutunnaTTanipistE	తగ్గుతున్నట్టనిపిస్తే
tagina	తగిన
taginaMta	తగినంత
takkuva	తక్కువ
takkuvagA	తక్కువగా
takkuvalainA	తక్కువలైనా
takkuvanI	తక్కువనీ
talOcEyI	తలోచేయీ
tala	తల
talakiMdulugA	తలకిందులుగా
talanIlAlu	తలనీలాలు
talapOSAru	తలపోశారు
talapeTTi	తలపెట్టి
talapistuMdi	తలపిస్తుంది
talcukuMTEnE	తల్చుకుంటేనే
talettE	తలెత్తే
talettinA	తలెత్తినా
talettina	తలెత్తిన
talettoccu	తలెత్తొచ్చు
talettuku	తలెత్తుకు
talettutU	తలెత్తుతూ
talli	తల్లి
tallidaMDrulI	తల్లిదండ్రులీ
tallidaMDrulU	తల్లిదండ్రులూ
tallidaMDrula	తల్లిదండ్రుల
tallidaMDrulu	తల్లిదండ్రులు
tallidaMDrulugA	తల్లిదండ్రులుగా
tallini	తల్లిని
tallitaMDrulu	తల్లితండ్రులు
talupulu	తలుపులు
tama	తమ
tamakEdO	తమకేదో
tamakaMTE	తమకంటే
tamaku	తమకు
tamalO	తమలో
tamiLaMlO	తమిళంలో
tana	తన
tanaTeLlagAnE	తనటెళ్లగానే
tanaki	తనకి
tanakishTaM	తనకిష్టం
tanaku	తనకు
tanalO	తనలో
tanani	తనని
tananu	తనను
tanikhIlu	తనిఖీలు
tanmayaMgA	తన్మయంగా
tanuvu	తనువు
tapAlA	తపాలా
tapassu	తపస్సు
tapassuki	తపస్సుకి
tapassuku	తపస్సుకు
tapassutO	తపస్సుతో
tappE	తప్పే
tappEmI	తప్పేమీ
tappa	తప్ప
tappadu	తప్పదు
tappakuMDA	తప్పకుండా
tappani	తప్పని
tappanisari	తప్పనిసరి
tappanisarigA	తప్పనిసరిగా
tappiMci	తప్పించి
tappidaM	తప్పిదం
tappistunnAyi	తప్పిస్తున్నాయి
tappu	తప్పు
tappuDu	తప్పుడు
tappugA	తప్పుగా
tapputOMdA	తప్పుతోందా
tarAla	తరాల
tarAniki	తరానికి
taraMgiNi	తరంగిణి
tarabaDi	తరబడి
taracU	తరచూ
taracudanaM	తరచుదనం
taragati	తరగతి
tarali	తరలి
taraliMcAlani	తరలించాలని
taralivaccE	తరలివచ్చే
taratarAlugA	తరతరాలుగా
taravAta	తరవాత
tarigoMDa	తరిగొండ
taristunnAru	తరిస్తున్నారు
taruNaM	తరుణం
taruNaMlO	తరుణంలో
taruvAta	తరువాత
tarvAtE	తర్వాతే
tarvAta	తర్వాత
tarvAtagAnI	తర్వాతగానీ
tarvAti	తర్వాతి
tarvAttarvAti	తర్వాత్తర్వాతి
tavvakAlu	తవ్వకాలు
tavvutU	తవ్వుతూ
tayArI	తయారీ
tayArIlO	తయారీలో
tayArainappuDu	తయారైనప్పుడు
tayAravutAyi	తయారవుతాయి
tayAravutOMdi	తయారవుతోంది
tayAravutuMTAru	తయారవుతుంటారు
tayAravutuMdi	తయారవుతుంది
tayArayyE	తయారయ్యే
tayAru	తయారు
teccAru	తెచ్చారు
teccAyi	తెచ్చాయి
teccE	తెచ్చే
teccEdE	తెచ్చేదే
teccElOpE	తెచ్చేలోపే
tecci	తెచ్చి
teccipeTTukunnadi	తెచ్చిపెట్టుకున్నది
teccukOvAlani	తెచ్చుకోవాలని
teccukOvaDaM	తెచ్చుకోవడం
teccukuMTE	తెచ్చుకుంటే
telIni	తెలీని
telaMgANa	తెలంగాణ
telipE	తెలిపే
telipina	తెలిపిన
telisElA	తెలిసేలా
telisi	తెలిసి
telisiMdE	తెలిసిందే
telisiMdi	తెలిసింది
telivitETalu	తెలివితేటలు
teliyAli	తెలియాలి
teliyadu	తెలియదు
teliyajEstADu	తెలియజేస్తాడు
teliyaka	తెలియక
teliyakuMDA	తెలియకుండా
tellaTi	తెల్లటి
tellavArujAmuna	తెల్లవారుజామున
telugu	తెలుగు
telugunATa	తెలుగునాట
telugusIma	తెలుగుసీమ
teluguvAri	తెలుగువారి
telupu	తెలుపు
telupulanu	తెలుపులను
telustOMdi	తెలుస్తోంది
telusu	తెలుసు
telusukOgaligina	తెలుసుకోగలిగిన
telusukOvAli	తెలుసుకోవాలి
telusukOvaTaM	తెలుసుకోవటం
telusukOvaTaMlO	తెలుసుకోవటంలో
telusukOvaccu	తెలుసుకోవచ్చు
telusukoni	తెలుసుకొని
telusukunEMduku	తెలుసుకునేందుకు
telusukuni	తెలుసుకుని
teppOtsavAlU	తెప్పోత్సవాలూ
teppiMcADu	తెప్పించాడు
tera	తెర
terallOMcI	తెరల్లోంచీ
terici	తెరిచి
terustAru	తెరుస్తారు
testOMdi	తెస్తోంది
testU	తెస్తూ
testunnAru	తెస్తున్నారు
thOraNi	థోరణి
thrillu	థ్రిల్లు
timmappa	తిమ్మప్ప
tini	తిని
tiragalEka	తిరగలేక
tiraskaristADu	తిరస్కరిస్తాడు
tirigeLlipOyAM	తిరిగెళ్లిపోయాం
tirigi	తిరిగి
tirigirAvaDaM	తిరిగిరావడం
tiru	తిరు
tirucuTTumAlika	తిరుచుట్టుమాలిక
tirugutunnaTTu	తిరుగుతున్నట్టు
tirugutunnaTTuMDE	తిరుగుతున్నట్టుండే
tirumala	తిరుమల
tirumalagiripai	తిరుమలగిరిపై
tirumalagirulalO	తిరుమలగిరులలో
tirumalaku	తిరుమలకు
tirumalalO	తిరుమలలో
tirumalappa	తిరుమలప్ప
tirumalarAyalu	తిరుమలరాయలు
tirunALla	తిరునాళ్ల
tirupati	తిరుపతి
tirupatiki	తిరుపతికి
tirupatilO	తిరుపతిలో
titidE	తితిదే
titidEyE	తితిదేయే
tivAcI	తివాచీ
toMDamAn	తొండమాన్
toMbhaiSAtaM	తొంభైశాతం
toMdarapATu	తొందరపాటు
toMdarlO	తొందర్లో
toTTatoli	తొట్టతొలి
toTTatoligA	తొట్టతొలిగా
tokkutunnappuDu	తొక్కుతున్నప్పుడు
tolagiMci	తొలగించి
tolagiMcukuMTEnE	తొలగించుకుంటేనే
tolagipOtAyani	తొలగిపోతాయని
tolagipOyi	తొలగిపోయి
toli	తొలి
toluta	తొలుత
trEnpulu	త్రేన్పులు
trEtAyugaMlO	త్రేతాయుగంలో
trayaMga	త్రయంగ
tridaMDi	త్రిదండి
triliMga	త్రిలింగ
tripurAsuruNNi	త్రిపురాసురుణ్ణి
tu	తు
tuDicEsi	తుడిచేసి
tuDiciMdi	తుడిచింది
tulasi	తులసి
tulyuDanE	తుల్యుడనే
tummulu	తుమ్ములు
tuphAnu	తుఫాను
tvaragA	త్వరగా
tvaralO	త్వరలో
tvaratvaragA	త్వరత్వరగా
uMDAlanna	ఉండాలన్న
uMDAli	ఉండాలి
uMDAlsi	ఉండాల్సి
uMDE	ఉండే
uMDEdaTa	ఉండేదట
uMDEdi	ఉండేది
uMDEvAru	ఉండేవారు
uMDEvi	ఉండేవి
uMDaTAniki	ఉండటానికి
uMDaTaM	ఉండటం
uMDaTaMlO	ఉండటంలో
uMDaTaMtO	ఉండటంతో
uMDaTamE	ఉండటమే
uMDaTamannadi	ఉండటమన్నది
uMDadu	ఉండదు
uMDagA	ఉండగా
uMDakUDadu	ఉండకూడదు
uMDakapOvaccu	ఉండకపోవచ్చు
uMDalEranI	ఉండలేరనీ
uMDalErani	ఉండలేరని
uMDaru	ఉండరు
uMDavanI	ఉండవనీ
uMDavu	ఉండవు
uMDi	ఉండి
uMDipOyAraTa	ఉండిపోయారట
uMDipOyAru	ఉండిపోయారు
uMDoccani	ఉండొచ్చని
uMDoccu	ఉండొచ్చు
uMTADO	ఉంటాడో
uMTADu	ఉంటాడు
uMTAM	ఉంటాం
uMTAru	ఉంటారు
uMTAyO	ఉంటాయో
uMTAyani	ఉంటాయని
uMTAyanna	ఉంటాయన్న
uMTAyannadi	ఉంటాయన్నది
uMTAyi	ఉంటాయి
uMTAyigAnI	ఉంటాయిగానీ
uMTE	ఉంటే
uMTEnE	ఉంటేనే
uMTOMdi	ఉంటోంది
uMTuMDaTaM	ఉంటుండటం
uMTuMdA	ఉంటుందా
uMTuMdani	ఉంటుందని
uMTuMdi	ఉంటుంది
uMTuMdigAnI	ఉంటుందిగానీ
uMTunnAM	ఉంటున్నాం
uMTunnAyi	ఉంటున్నాయి
uMTunnaTTu	ఉంటున్నట్టు
uMcAli	ఉంచాలి
uMcakUDadu	ఉంచకూడదు
uMcukOvaccu	ఉంచుకోవచ్చు
uMcukuni	ఉంచుకుని
uMdA	ఉందా
uMdO	ఉందో
uMdani	ఉందని
uMdanna	ఉందన్న
uMdannadi	ఉందన్నది
uMdanukOvaccu	ఉందనుకోవచ్చు
uMdanukuMTU	ఉందనుకుంటూ
uMdi	ఉంది
uMdikkaDa	ఉందిక్కడ
uMgAuMgAla	ఉంగాఉంగాల
ucita	ఉచిత
ucitaMgA	ఉచితంగా
udAharaNaku	ఉదాహరణకు
udayAnnE	ఉదయాన్నే
udayaM	ఉదయం
udbhaviMciMdani	ఉద్భవించిందని
uddIpana	ఉద్దీపన
uddIpanalannI	ఉద్దీపనలన్నీ
udyOgAla	ఉద్యోగాల
udyOgAllO	ఉద్యోగాల్లో
udyOgAlu	ఉద్యోగాలు
udyOgAniki	ఉద్యోగానికి
udyOgAvakASAla	ఉద్యోగావకాశాల
udyOgAvakASAlapai	ఉద్యోగావకాశాలపై
udyOga	ఉద్యోగ
udyOgaM	ఉద్యోగం
udyOgulanu	ఉద్యోగులను
udyOgulu	ఉద్యోగులు
udyOgulugA	ఉద్యోగులుగా
udyamAlu	ఉద్యమాలు
ugAdi	ఉగాది
ugra	ఉగ్ర
ugrarUpuDaina	ఉగ్రరూపుడైన
ugratvaM	ఉగ్రత్వం
unnA	ఉన్నా
unnADu	ఉన్నాడు
unnAM	ఉన్నాం
unnAmaMTU	ఉన్నామంటూ
unnAmani	ఉన్నామని
